,OLTV,DTI,CSCORE_B,PURPOSE,PROP,LOSS_GIVEN_DEFAULT,UNRATE,CURR_HPI,MORTGAGE30US,MTM_LTV,INT_DIFF,LOG_OUPB
13146,95,46.0,700.0,R,PU,0.1105860345537315,10.2,302.08,3.94,107.20464362158162,1.935,12.287652632522597
13148,95,41.0,632.0,P,SF,0.314442161896323,7.3,299.84666666666664,4.39,99.89381038108152,2.4850000000000003,11.944707881395766
13149,90,34.0,769.0,C,SF,0.1840235899245463,9.4,298.14666666666665,3.34,101.84431063011496,3.41,11.302204433654575
13150,78,39.0,692.0,C,SF,0.1916922927365369,9.5,298.54,3.36,84.42331587508482,2.89,11.429543856031177
13151,96,44.0,676.0,R,PU,0.2425800244711102,11.2,323.95,5.32,98.78952797566332,1.1799999999999995,11.951180395901384
13152,95,44.0,639.0,P,SF,0.2326968369640067,5.7,314.13,3.73,91.8684505925329,2.145,11.820410164718188
13153,87,48.0,666.0,R,SF,0.3662952603865509,5.7,320.39,4.08,82.78637160369247,2.795,12.4529327234617
13154,67,46.0,668.0,C,SF,0.2505887015115534,10.3,300.89,4.6,68.36821704193318,1.6500000000000004,11.608235644774552
13155,70,36.0,717.0,C,SF,0.0284490515316203,9.5,297.28,3.62,74.66484606662357,2.38,12.94084150078094
13156,90,45.0,703.0,C,SF,0.4638077446657203,9.6,296.61,3.87,96.99133910748712,2.505,11.782952602183288
13157,75,42.0,668.0,C,SF,0.2043447781963209,9.5,295.43,3.9,81.28479294837841,2.475,11.863582336583399
13158,95,54.0,652.0,P,PU,0.1233147740066566,11.0,312.25,5.08,99.94292795197173,1.42,12.66349749256905
13159,97,57.0,681.0,P,PU,0.0,8.2,299.68333333333334,3.35,100.75543082171824,3.275,12.337100907936577
13160,70,50.0,637.0,R,PU,0.1259998372892204,9.5,297.28,3.62,74.42426197390715,2.63,12.456831363877356
13161,95,50.0,633.0,P,CO,0.1676392984441816,7.8,299.88666666666666,3.91,106.67856063323222,2.465,11.870599909242044
13162,37,60.0,679.0,C,CO,0.0,9.5,294.25,3.98,40.03029448830684,2.02,11.84939770159144
13163,80,57.0,750.0,C,SF,0.5767412544315129,10.4,301.28666666666663,4.39,86.05111319402957,2.7350000000000003,11.589886506106357
13164,97,50.0,702.0,P,SF,0.0,5.8,310.8233333333333,4.02,99.43136354726568,2.3550000000000004,12.216022976383341
13165,90,54.0,675.0,P,SF,0.2342795955610233,11.2,333.59333333333336,5.15,89.5579694548728,1.7249999999999996,12.14950229404178
13166,95,29.0,787.0,P,CO,0.1134931882037178,10.2,301.4666666666667,4.87,102.2254416765081,1.88,12.542544882151386
13167,95,42.0,768.0,P,SF,0.0,9.5,296.27,3.67,101.60189643384258,2.205,12.250089530946948
13168,94,35.0,628.0,P,SF,0.1277588489216202,9.5,295.26,3.84,101.67423445572744,3.035,12.65075846679162
13169,90,10.0,757.0,P,SF,0.2025990705026364,10.4,305.56,4.77,96.0682005062635,2.2300000000000004,12.185869938212655
13170,89,37.0,742.0,C,SF,0.3395078348010643,10.9,320.12,4.94,91.76777535326484,1.1849999999999996,12.392552212472792
13171,90,12.0,692.0,P,SF,0.5043107825250908,5.7,312.4766666666667,3.89,97.4523356898033,3.485,11.669929213779893
13172,75,54.0,734.0,P,SF,0.3166982170319208,11.0,318.3533333333333,4.98,78.13696346256656,2.145,11.938193200374572
13173,97,64.0,667.0,P,SF,0.1792242162076758,10.2,299.42,4.87,129.03816143320543,1.63,11.813030057420567
13174,89,28.0,737.0,C,SF,0.6202573612505063,10.4,305.56,4.77,94.70801553958012,2.6050000000000004,11.842229212112828
13175,80,38.0,648.0,P,SF,0.5090422373554097,10.4,313.1733333333333,4.32,82.96641296019631,3.055,11.097410021008562
13176,78,50.0,785.0,P,SF,0.2190430141051476,11.0,312.25,5.08,81.7574295855586,1.045,12.611537753638338
13177,95,50.0,728.0,P,SF,0.0,11.0,318.3533333333333,4.98,98.52995264431122,1.2699999999999996,12.647548191161372
13178,93,47.0,680.0,R,SF,0.3344143535333216,10.2,302.08,3.94,98.06293486104924,1.935,12.358793732547838
13179,90,43.0,667.0,C,SF,0.2247401501183356,9.5,298.34333333333336,3.39,100.43637825777776,3.36,12.631340380934517
13180,97,59.0,727.0,P,SF,0.081858080546703,10.1,300.65,4.0,103.74555256881033,2.375,11.669929213779893
13181,69,41.0,610.0,R,SF,0.1374954186788275,9.5,297.28,3.62,76.72974816982307,3.005,12.611537753638338
13182,90,55.0,803.0,P,SF,0.0732649911562854,10.2,299.42,4.87,96.73769679601526,0.6299999999999999,12.774223335915433
13183,95,53.0,786.0,P,CO,0.3798691367242727,9.6,296.61,3.87,102.68038178976072,3.005,11.661345470088502
13184,80,41.0,621.0,P,SF,0.2998034033191553,9.5,295.26,3.84,86.59701264657649,3.16,12.556729517143344
13185,90,54.0,765.0,P,PU,0.2454269847019191,11.0,312.25,5.08,94.55348229518576,2.17,11.782952602183288
13186,75,38.0,725.0,C,SF,0.6379730542582294,7.3,299.84666666666664,4.39,79.54190936648108,3.1100000000000003,10.621327345686446
13187,74,41.0,707.0,C,SF,0.1934629220630651,9.5,296.27,3.67,69.00722986511906,1.83,12.043553716032399
13188,87,39.0,747.0,R,PU,0.0184549090372541,10.1,300.65,4.0,92.64986714985636,1.75,12.94084150078094
13189,94,56.0,664.0,R,PU,0.0532649903814595,9.5,298.12,3.55,98.9842474610154,2.45,12.637855061955712
13190,95,42.0,723.0,R,SF,0.4773082430906015,10.9,321.39666666666665,5.08,97.35836489704906,0.7949999999999999,11.84939770159144
13191,90,27.0,766.0,P,CO,0.3431079357905922,6.6,299.36,4.22,93.1121393376458,2.155,11.350406535472453
13192,80,61.0,711.0,P,PU,0.0562595074872102,9.5,298.12,3.55,84.07439597009476,2.825,12.05524975579559
13193,89,45.0,721.0,C,SF,0.0,9.6,336.15333333333336,5.53,87.3514992964376,0.8449999999999998,11.608235644774552
13194,78,46.0,795.0,C,SF,0.5962479437221629,10.2,301.4666666666667,4.87,83.6192368937618,1.38,11.097410021008562
