,ORIG_RATE,ORIG_UPB,ORIG_DATE,OLTV,DTI,CSCORE_B,PURPOSE,PROP,NO_UNITS,OCC_STAT,LAST_UPB,LAST_PAID_INSTALLMENT_DATE,LOSS_GIVEN_DEFAULT
1594,8.0,153000.0,2001-06-01,95,12.0,633.0,R,SF,1,P,148743.62,2004-07-01,0.0
1595,8.0,56000.0,2001-07-01,80,29.0,670.0,C,SF,1,I,55198.87,2003-04-01,0.0
1596,7.5,60000.0,2001-08-01,75,33.0,642.0,C,SF,1,P,57177.35,2010-07-01,0.5702800264691781
1597,7.625,66000.0,2001-07-01,70,18.0,654.0,R,SF,1,I,60372.37,2008-10-01,0.5964234642164155
1598,7.0,82000.0,2001-08-01,90,46.0,662.0,R,SF,1,P,77446.89,2006-05-01,0.0
1599,7.625,110000.0,2001-07-01,97,35.0,661.0,P,MH,1,P,90445.93,2013-04-01,0.0500970927122463
1600,7.875,88000.0,2001-07-01,80,30.0,630.0,R,SF,1,I,86641.22,2003-05-01,0.0
1601,6.875,139000.0,2001-08-01,70,42.0,727.0,C,SF,1,P,125768.3,2003-06-01,0.0
1602,7.125,120000.0,2001-09-01,80,50.0,626.0,R,MH,1,P,98356.17,2011-10-01,0.4879394746473077
1603,8.0,58000.0,2001-08-01,69,53.0,547.0,C,SF,1,P,54568.67,2006-10-01,0.4440202932013704
1604,8.375,97000.0,2001-07-01,95,26.0,633.0,P,SF,1,P,94971.45,2004-01-01,0.0
1605,8.0,104000.0,2001-07-01,80,30.0,630.0,R,SF,1,I,102432.52,2003-05-01,0.0
1606,7.375,76000.0,2001-07-01,80,17.0,602.0,R,PU,1,P,65544.82,2005-01-01,0.2717645745182477
1607,7.0,78000.0,2001-07-01,95,27.0,554.0,P,SF,1,P,74888.53,2005-07-01,0.0
1608,7.125,149000.0,2001-06-01,95,32.0,668.0,P,PU,1,P,141276.73,2006-04-01,0.0
1609,7.0,75000.0,2001-08-01,76,57.0,630.0,C,SF,1,P,72379.29,2005-01-01,0.143431037725096
1610,8.0,71000.0,2001-05-01,90,30.0,681.0,R,MH,1,P,70603.72,2002-02-01,0.0
1611,7.0,83000.0,2001-08-01,88,37.0,725.0,R,SF,1,P,80316.24,2004-06-01,0.0
1612,7.0,104000.0,2001-05-01,90,24.0,694.0,P,SF,1,P,96898.78,2007-05-01,0.2881758875482502
1613,6.875,110000.0,2001-06-01,80,37.0,656.0,P,SF,1,P,110025.8,2001-11-01,0.0310084942348747
1614,7.75,66000.0,2001-05-01,80,35.0,641.0,P,MH,1,P,59799.92,2009-10-01,0.5929401299994731
1615,7.0,72000.0,2001-07-01,83,24.0,790.0,C,SF,1,P,68235.95,2003-01-01,0.1484962427496714
1616,7.0,104000.0,2001-05-01,80,28.0,673.0,P,SF,1,P,89680.53,2011-03-01,0.2029281870885206
1617,8.375,83000.0,2001-08-01,85,23.0,531.0,C,SF,1,P,81561.99,2003-10-01,0.2577776289136378
1618,7.625,69000.0,2001-07-01,74,19.0,654.0,R,SF,1,I,62784.15,2009-08-01,0.9374670474396964
1619,7.5,32000.0,2001-06-01,70,38.0,657.0,C,SF,1,I,28857.81,2009-09-01,0.949001105306602
1620,7.0,152000.0,2001-06-01,80,58.0,712.0,C,SF,1,P,187062.58,2017-05-01,0.1711407675656667
1621,7.875,96000.0,2001-08-01,69,27.0,640.0,C,MH,1,P,72887.62,2016-09-01,0.0
1622,7.125,92000.0,2001-06-01,80,53.0,631.0,R,MH,1,P,88697.4,2004-10-01,0.4745382670303182
1623,6.75,84000.0,2001-08-01,65,57.0,737.0,C,SF,1,P,78552.76,2003-04-01,0.0
1624,6.875,105000.0,2001-08-01,95,53.0,700.0,P,PU,1,P,95577.16,2008-10-01,0.0622898133224499
1625,7.875,76000.0,2001-08-01,95,45.0,613.0,P,SF,1,P,73227.67,2005-06-01,0.0
1626,7.875,110000.0,2001-07-01,80,23.0,596.0,R,SF,1,I,108116.65,2003-11-01,0.0
1627,7.25,122000.0,2000-01-01,93,30.0,549.0,R,SF,1,P,116708.55,2003-07-01,0.0
1628,7.375,98000.0,2001-08-01,65,32.0,578.0,C,SF,1,P,87870.15,2009-08-01,0.0
1629,7.875,87000.0,2001-08-01,95,46.0,696.0,R,SF,1,P,81886.77,2007-09-01,0.0
1630,7.0,150000.0,2001-08-01,88,41.0,670.0,C,SF,1,P,144598.77,2004-08-01,0.0
1631,7.375,133000.0,2001-07-01,85,23.0,745.0,P,PU,1,P,110886.65,2013-04-01,0.0
1632,7.125,111000.0,2001-07-01,78,29.0,782.0,C,SF,1,P,102753.57,2007-08-01,0.0
1633,7.625,68000.0,2001-07-01,73,18.0,654.0,R,SF,1,I,61516.31,2009-10-01,0.8493266002449491
1634,7.5,51000.0,2001-08-01,70,20.0,504.0,C,MH,1,P,50392.8,2001-11-01,0.0
1635,6.875,105000.0,2001-08-01,95,52.0,688.0,P,SF,1,P,99752.65,2008-05-01,0.3777690120754939
1636,6.875,200000.0,2001-05-01,95,50.0,673.0,P,SF,1,P,197602.66,2002-05-01,0.0
1637,6.75,34000.0,2001-06-01,69,15.0,662.0,C,SF,1,P,9832.92,2013-07-01,0.2818959053164642
1638,6.875,80000.0,2001-06-01,87,28.0,648.0,R,MH,1,P,73746.52,2003-06-01,0.2867827389307547
1639,7.5,84000.0,2001-07-01,95,25.0,648.0,P,MH,1,P,74365.1,2010-05-01,0.5013637976162375
1640,7.625,58000.0,2001-06-01,65,30.0,635.0,C,MH,1,P,50039.18,2006-11-01,0.0
1641,7.5,160000.0,2001-05-01,75,51.0,709.0,C,SF,1,P,155890.14,2003-10-01,0.0
1642,7.875,103000.0,2001-07-01,80,29.0,670.0,R,SF,1,I,101606.5,2003-05-01,0.0314478132499315
1643,7.125,66000.0,2001-08-01,95,40.0,642.0,P,SF,1,P,59762.09,2008-09-01,0.6604194224328847
1644,7.25,95000.0,2001-07-01,95,18.0,606.0,P,SF,1,P,71127.39,2011-08-01,0.0
1645,7.125,100000.0,2001-05-01,95,35.0,774.0,R,SF,1,P,91710.2,2007-12-01,0.0163519897318369
1646,6.875,83000.0,2001-06-01,95,61.0,599.0,R,SF,1,P,91542.41,2010-05-01,0.6778484717166601
1647,7.25,128000.0,2001-06-01,72,33.0,630.0,R,PU,1,P,131907.47,2006-09-01,0.2356735544258178
1648,7.875,114000.0,2001-07-01,80,23.0,596.0,R,SF,1,I,111298.81,2003-11-01,0.0
1649,7.125,96000.0,2001-07-01,80,35.0,666.0,R,SF,1,P,90654.75,2006-06-01,0.2339717556512482
1650,6.99,182000.0,2001-06-01,83,45.0,643.0,R,SF,1,P,172232.12,2005-11-01,0.1364545279927252
1651,6.875,126000.0,2001-07-01,90,49.0,763.0,P,SF,1,P,122818.98,2003-11-01,0.0
1652,6.625,52000.0,2001-05-01,80,44.0,673.0,P,SF,1,P,30298.15,2009-07-01,0.7490145294860266
1653,7.375,62000.0,2001-07-01,90,15.0,684.0,R,SF,1,P,58216.0,2006-10-01,0.0
1654,7.25,149000.0,2001-06-01,97,48.0,753.0,P,SF,1,P,146291.02,2003-03-01,0.0
1655,8.0,107000.0,2001-07-01,95,48.0,646.0,R,SF,1,P,101761.55,2009-02-01,0.0014881688986768
1656,7.0,147000.0,2001-05-01,94,43.0,673.0,R,PU,1,P,138069.69,2009-09-01,0.0142057612013181
1657,7.125,149000.0,2001-05-01,77,29.0,590.0,P,SF,1,P,145796.55,2003-10-01,0.0
1658,8.625,77000.0,2001-07-01,90,37.0,725.0,P,CO,1,I,75761.2,2002-11-01,0.0
1659,7.8,139000.0,2001-04-01,89,39.0,727.0,R,SF,1,P,136555.52,2003-07-01,0.2552408513836045
1660,7.625,86000.0,2001-06-01,91,44.0,769.0,R,MH,1,P,83173.94,2005-02-01,0.0
1661,7.5,110000.0,2001-06-01,79,,611.0,C,SF,1,P,115596.8,2008-08-01,0.0606177583687643
1662,7.25,99000.0,2001-08-01,73,49.0,543.0,R,SF,1,P,95796.1,2004-05-01,0.0
1663,7.375,210000.0,2001-07-01,78,,693.0,R,SF,1,P,203368.23,2004-11-01,0.0
1664,7.875,68000.0,2001-07-01,97,,658.0,P,SF,1,P,63521.54,2007-09-01,0.315411111677035
1665,7.0,61000.0,2001-08-01,79,15.0,588.0,R,SF,1,P,47239.56,2015-02-01,0.4821860642650281
1666,8.625,70000.0,2001-07-01,90,36.0,725.0,P,CO,1,I,69546.0,2002-11-01,0.0
1667,7.0,75000.0,2001-07-01,76,20.0,745.0,R,SF,1,P,51510.4,2017-09-01,0.0
1668,8.625,77000.0,2001-07-01,90,37.0,686.0,P,CO,1,I,75787.33,2002-11-01,0.0
1669,7.375,136000.0,2001-05-01,95,39.0,765.0,P,SF,1,P,107592.77,2013-04-01,0.3846412809167234
1670,7.375,77000.0,2001-07-01,94,32.0,747.0,R,MH,1,P,68069.86,2008-04-01,0.3170582310056696
1671,6.875,82000.0,2001-07-01,89,34.0,640.0,R,SF,1,P,64809.72,2013-06-01,0.7247051675252699
1672,7.125,127000.0,2001-07-01,80,44.0,716.0,P,SF,1,P,124397.13,2003-09-01,0.0
